,,,,,,,,,,,,,,,,,,,,,,,April 1 = 1,20,21,22,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,121,122,125,128,131,134,138,141,145,148,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,RUTW,LETE,29.76399,-93.14401,none,6/6/2021,N,0,0,unk,,,,,,"U, but possibliy hatched, no evidence of predation or other disturbance",,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 16d, 16d",,,,"0E, H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,RUTW,LETE,29.76682,-93.15689,none,6/15/2021,N,0,0,unk,,,,,,6/10: nest run over,,,,Hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 7d,7d,7d",,,,3E,,,Hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,RUTE,CONI,29.75694,-93.11057,none,6/22/2021,,,,,,coyote,68,79,82,,Y,Y?,N,D,D,6/19/2021,something triggers camera the night of 6/19 but it's not in the pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2E,,,,,,,2E,,,,"2E, 15d",,,0E coyote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,RUTE,WIPL,29.75611,-93.10704,none,6/9/2021,Y,50,30,,,,68,71,71,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 26d, 26d, 23d",,,"1E, H",,,,"0E, H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,RUTE,CONI,29.75627,-93.10825,none,needs float,,,,,yes (1),,68,82,82,"6/21: 7-8 days old (19.9g, 16.7g). 7/5: no chicks seen but adult was doing chick click. 7/8 adults were around but not territorial",Y,,N,H,H,6/17/2021,parents and chicks moved right in front of camera - very cool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2E,,,2E,,,,2E,,,,"2C, 1 day",,,2C,,,,,,,,,,,,,0C,,,0C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,HBTO,CONI,29.76846,-93.43052,none,,N,0,0,unk,,,,,,"6/21: no eggs found but parents acting very territorial, possibly chicks in area",,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, vertical at bottom",,,,,,,,,,1E,,,,,"0E, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,RUTE,LETE,29.75915,-93.12080,fenced,6/14/2021,N,0,0,,,,,,,"possibly hatched, uncertain",,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 15d",,,,2E,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,RUTE,LETE,29.75803,-93.11584,fenced,6/14/2021,N,0,0,,,,71,79,79,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 15d",,,,2E,,,,"1C, 1E",,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,RUTW,LETE,29.76368,-93.14198,none,6/29/2021,N,0,0,unk,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 4d, 4d",,,,2E,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,RUTW,LETE,29.76642,-93.15433,none,6/26/2021,N,0,0,unk,,,,,,"6/18: nest stick gone, but no evidence of tracks in area",,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, all 7d",,,,"0E, no stick",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,RUTE,LETE,29.75797,-93.11678,fenced,6/18/2021,N,0,0,unk,,,,,,"likely hatched, as it was past the hatch date and had no evidence of depredation/other disturbance",,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, all 15d",,,,3E,,,"0E, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,RUTE,LETE,29.75743,-93.11392,fenced,7/3/2021,N,0,0,unk,,,82,82,87,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 7d, 7d",,,,"0E, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,HBRB,LETE,29.76509,-93.37422,fenced,7/10/2021,N,0,0,unk,,,86,89,97,"unknown reason for failure, no evidence seen",,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, 4d",,,1E,,,,,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,RUTE,LETE,29.75859,-93.11987,fenced,7/11/2021,N,0,0,unk,,,,,,"could have hatched, but uncertain",?,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 4d, 4d",,,,2E,,,,,BON,,,2E,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,RUTE,LETE,29.75689,-93.11258,fenced,6/30/2021,N,0,0,unk,,,,,,coyote tracks were in the area but could have hatched,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 15d, 15d",,,,"0E, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,RUTE,LETE,29.75545,-93.10667,fenced,6/30/2021,N,0,0,unk,,coyote,87,91,96,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 15d, 15d",,,,2E,,,,,"0E, coyote",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,RUTE,LETE,29.75915,-93.12195,fenced,7/15/2021,N,0,0,unk,,,99,99,103,"no tracks seen, uncertain failure",?,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 1d, 4d",,,,,3E,,,3E,,,,0E,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,RUTE,LETE,29.75843,-93.11989,fenced,7/13/2021,N,0,0,unk,,,91,99,103,"field photos 7/12 show coyote tracks; could have hatched, but uncertain",?,,,D,,,changed fate to D based on field photos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 6d, 6d",,,,,2E,,,2E,,,,0E,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,RUTE,LETE,29.75833,-93.12076,none,7/4/2021,N,0,0,unk,,,91,93,94,"6/3: no tern parents around. human footprints and ?dog? prints. so it seems it failed due to human disturbance, either stepped on by dog or human",,,,Hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 15d, 15d",,2E,F,,0E/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,RUTE,LETE,29.75921,-93.12154,fenced,needs float,N,0,0,unk,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2E,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,RUTE,LETE,29.75629,-93.10875,fenced,7/20/2021,N,0,0,unk,,,99,99,104,"unknown cause of failure, no tracks seen",?,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 7d, 7d, 4d",,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,ROJH,LETE,29.63667,-92.77003,none,7/18/2021,N,0,0,unk,,,,,,"fate unknown. could have hatched, but very difficult to confirm chicks at this site",,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 13d, 13d",,,,,,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,RUTW,LETE,29.76523,-93.14834,none,7/25/2021,N,0,0,unk,,coyote,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 7d, 7d",,,,,"0E, coyote",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,RUTW,LETE,29.76642,-93.15595,none,7/28/2021,N,0,0,unk,,,,,,"7/21: nest stick knocked out, most likely run over",?,,,Hu,,7/20/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 4d, 4d",,,,,2E,,,"0E, run over",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,RUTW,LETE,29.76825,-93.16176,none,7/23/2021,N,<1,5,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, 1d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,RUTE,CONI,29.75976,-93.12257,fenced,,N,5,10,unk,,,99,104,104,"7/13: chick about 1 day old :), 7/8: one egg vertical at bottom, one egg floating just under surface",Y,,,H,,7/13/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2E,,,,,"1E, 1C",,,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,RUTE,LETE,29.75878,-93.12026,fenced,needs float,N,0,0,unk,,,,,,,?,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2E,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,RUTW,LETE,29.76966,-93.16782,none,7/19/2021,N,20,5,unk,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 10d, 13d",,,,,"0E, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,RUTE,LETE,29.75876,-93.11959,fenced,7/19/2021,N,0,0,unk,,coyote,104,104,108,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 13d, 13d",,,,"0E, coyote",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,RUTE,LETE,29.75736,-93.11361,fenced,7/29/2021,N,0,0,unk,,,,,,changing to F based on est hatch date,?,,,F,,7/19/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 2d, 3d",,,,2E,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,HBRB,LETE,29.76513,-93.37540,fenced,8/2/2021,N,0,0,no,,,106,128,128,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, 1d",,,,,2E,,,2E,,,,,2E,,2E,2C hatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,HBRB,LETE,29.76501,-93.37360,fenced,7/21/2021,N,5,2,unk,,,,,,"could have hatched, but no evidence seen",,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, 13d",,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,RUTE,LETE,29.75793,-93.11652,fenced,8/3/2021,N,0,0,unk,,coyote,108,112,116,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 3d, 2d",,,,2E,,"0E, D",,"0E, coyote",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,RUTE,CONI,29.75530,-93.10581,fenced,7/19/2021,N,<1,5,unk,,,108,112,112,"7/17: 2E, both floating above with tops out of the surface",Y,,N,H,H,7/21/2021,coyote after hatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 15ish",,,,"1E, 1C",,0E,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,RUTW,LETE,29.76807,-93.16226,none,7/19/2021,N,0,0,unk,,,,,,any field notes for this one? Possible hatch evidence?,?,,,U,,more info?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 19d, 19d",,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,RUTW,LETE,29.76958,-93.16798,none,8/6/2021,N,0,0,unk,,,,,,,?,,,F,,7/20/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, 1d",,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,RUTW,CONI,29.77182,-93.18240,none,7/25/2021,N,80,50,unk,,,,,,7/18: 2E both about vertical on the bottom. 2023 changing to F based on hatch date,?,,,F,,7/20/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, about vertical",,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,HBRB,LETE,29.76546,-93.37875,none,8/1/2021,N,0,0,unk,,,111,128,128,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 6d, 7d",,,2E,,,,,2E,,did not find,1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,HBRB,LETE,29.76549,-93.37847,fenced,7/26/2021,N,0,0,unk,,,111,121,121,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 10d, 13d",,,2E,,,,,"1E, hatching",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,HBRB,LETE,29.76508,-93.37652,fenced,8/4/2021,N,0,0,unk,,,,,,nest stick missing on 7/30 visit. unknown if hatched between visits,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 3d, 4d",,,BON,,,,,stick missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,HBRB,LETE,29.76512,-93.37562,fenced,8/6/2021,N,0,0,unk,,,111,131,131,Only one chick in nest. No sign of second egg or chick.,N,,N,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 1d, 2d",,,2E,,,,,2E,,2E,2E,1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,HBRB,BLSK,29.76484,-93.37410,none,did not float,Y,0,0,no,,,111,131,134,"Two chicks had hatched on the 9th, third and fourth eggs hatched some time between the 9th and 12th.",N,,N,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3E,,,4E,,,,,4E,,4E,4E,"2E,2C",4C,4C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,HBRB,BLSK,29.76492,-93.37388,fenced,did not float,Y,0,20,no,,,131,148,148,All 3 chicks alive and hiding in grass just north of nest cup on Aug 30th,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3E,3E,3E,3E,,pipping,3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,HBRB,BLSK,29.76493,-93.37500,none,did not float,Y,0,0,no,,ghost crab,134,142,146,8/19- nest went from 3E to 1E between visits 8/23-nest empty with 2 large ghost crab burrows ,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1E,3E,1E,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,RUTE,WIPL,29.75872,-93.11985,fenced,5/25/2021,Y,0,0,no,,,36,56,56,,,,,H,,,,,,,,,,,,,,,,,,,"3E, 9d, 5d, 5d",,,,,3E,,,,3E,,,,3E,,,,3E,,,"1C, 2E",,,,,,"0E, H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,RUTE,LETE,29.75871,-93.11986,fenced,5/21/2021,Y,0,0,unk,,,,,,"likely hatched, but cannot confirm",,,,U,,,,,,,,,,,,,,,,,,,"2E, 4d",,,,,BON,,,,BON,,,,2E,,,,BON,,,"0E, U",,,,,,"0E, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,RUTE,LETE,29.75872,-93.11976,fenced,5/21/2021,N,0,0,unk,,,,,,"likely hatched, but cannot confirm",,,,U,,,,,,,,,,,,,,,,,,,"2E, 4d",,,,,BON,,,,BON,,,,2E,,,,BON,,,"0E, U",,,,,,"0E, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,RUTE,LETE,29.75871,-93.11964,fenced,5/25/2021,N,0,0,unk,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,"1E, 1d",,,,,BON,,,,BON,,,,2E,,,,BON,,,2E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,RUTE,LETE,29.75850,-93.11898,fenced,5/21/2021,N,,,unk,,coyote,36,41,45,,,,,D,,,,,,,,,,,,,,,,,,,"1E, 4d",,,,,1E,,,,"D, coyote",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,RUTE,LETE,29.75703,-93.11406,fenced,5/21/2021,N,,,unk,,,36,56,56,,,,,H,,,,,,,,,,,,,,,,,,,"2E, 4d, 1d",,,,,BON,,,,,,,,,,,,DNL,,,1C,,,,,,"0E, H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,RUTE,LETE,29.75714,-93.11171,fenced,5/30/2021,,0%,0%,unk,,coyote,45,45,49,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 4d, 4d, 1d",,,,"0E, D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,RUTW,LETE,29.76408,-93.14574,none,6/24/2021,N,30,40,unk,,,68,79,84,,Y,Y,U,U,U,,IMAG0388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 2d",,,2E,,,,2E,,,,2E,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,RUTE,CONI,29.75666,-93.10962,symbolic,6/23/2021,N,20,30,,,,69,82,87,"6/26: parents still in area, no chicks seen but suspected",Y,Y,Y,U-H,D,,coyote - not sure if hatched first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, needs float",,"2E, 2d, 3d",,,,,,,,2E,,,2E,,,,"0E, U",,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,HBRB,LETE,29.76546,-93.37804,symbolic,,,,,,,,,,,"unknown hatch date and no evidence, so unknown fate",,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2E,,,"2E, 13d, 13d",,,,,,2E,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,HBRB,LETE,29.76521,-93.37566,symbolic,,,,,,,,,,,"not floated, no evidence of disturbance. best guess is it hatched or washed out.",,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2E,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,HBRB,LETE,29.76491,-93.37283,none,7/10/2021,,,,,,,,,,7/6: found just outside fencing along the front,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2E,,,"2E, both starred",,,,,,think it had 2E,,,,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,HBRB,LETE,29.76493,-93.37423,none,n/a,,,,,,,97,100,100,7/6: found just outside fencing along the front,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1E,,,1 wet chick,,,,,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,HBRB,LETE,29.76497,-93.37442,symbolic,7/18/2021,,,,,,,100,114,114,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2E,,,"2E, 10d, 7d",,,,,,2E,,,,,2E,,,"1E, 1C",,,,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,HBRB,LETE,29.76496,-93.37447,symbolic,7/13/2021,,,,,,,100,111,111,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2E,,,"2E, 13d, 15d",,,,,,2E,,,,,2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,HBRB,LETE,29.76498,-93.37454,symbolic,7/10/2021,,,,,,,97,100,100,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2E,,,"2E, starred, 19d",,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
